"PI","grid","Community_type","Latitude","Longitude","Adjusted_latitude","Elevation","ydiv","STA_avg_EVI","STA_max_EVI","phe_var_based_EVI","MAT","MAP","MAT_scale","MAP_scale"
"Cahill",36,"temp.grass",53.084167,-111.564167,59.2553381711712,685,3.583518938,2.180542522,2.072496895,1.274469675,3.23090909090909,393.111818181818,-0.917186087637006,-0.669145555226656
"Cahill",37,"temp.grass",53.084722,-111.563611,59.2558931711712,685,3.737669618,2.180542522,2.072496895,1.274469675,3.23090909090909,393.111818181818,-0.917186087637006,-0.669145555226656
"Cahill",38,"temp.grass",53.085833,-111.562778,59.2570041711712,685,3.988984047,2.823007738,2.648249726,0.865276937,3.23090909090909,393.111818181818,-0.917186087637006,-0.669145555226656
"Cahill",39,"temp.grass",53.084444,-111.560833,59.2916512072072,689,3.850147602,2.136386307,2.159502129,1.152913587,3.01090909090909,389.754545454545,-0.949768071217659,-0.680587299068085
"Cahill",40,"temp.grass",53.084444,-111.56,59.2916512072072,689,3.828641396,2.136386307,2.159502129,1.152913587,3.01090909090909,389.754545454545,-0.949768071217659,-0.680587299068085
"Cahill",41,"temp.grass",53.085,-111.5575,59.2831981981982,688,3.63758616,2.478331077,2.79824634,1.184842117,3.01090909090909,389.754545454545,-0.949768071217659,-0.680587299068085
"Cleland",42,"med.grass",32.8921,-117.0895694,34.856063963964,218,3.17805383,2.05181618,1.722418493,-0.725779799,17.2227272727273,310.173636363636,1.15500114083337,-0.951802791658104
"Cleland",43,"med.grass",32.87561111,-117.24745,33.7044399388288,92,2.772588722,1.846601434,1.63589159,-0.383613466,17.6536363636364,299.628181818182,1.2188187450368,-0.987742198254526
"Csergo",44,"alpine.grass",46.4094,25.9493,57.1751657657658,1195,4.634728988,2.727406827,2.368668289,0.095185673,7.45636363636364,615.074545454546,-0.291396584815207,0.0873138909091966
"Csergo",45,"alpine.grass",46.409,25.9504,56.7423333333333,1147,4.553876892,2.727406827,2.368668289,0.095185673,7.45636363636364,615.074545454546,-0.291396584815207,0.0873138909091966
"Csergo",46,"alpine.grass",46.4088,25.9531,56.7421333333333,1147,4.430816799,2.959981488,2.97495201,-0.000973885,7.45636363636364,615.074545454546,-0.291396584815207,0.0873138909091966
"Csergo",47,"alpine.grass",46.4084,25.9542,56.1111027027027,1077,4.465908119,2.959981488,2.97495201,-0.000973885,7.45636363636364,615.074545454546,-0.291396584815207,0.0873138909091966
"Fidelis",48,"trop.grass",-13.6729722,-47.8478,20.1684676954955,721,4.304065093,3.279045601,3.312161793,-1.166316067,26.5309090909091,915.661818181818,2.53354217340489,1.11172949724374
"Fidelis",49,"trop.grass",-13.672611,-47.8478,20.1681064954955,721,4.356708827,2.738962392,3.007557889,-1.081107982,26.5309090909091,915.661818181818,2.53354217340489,1.11172949724374
"Fidelis",50,"trop.grass",-22.23527,-47.88583,28.8839186486486,738,2.772588722,2.780986309,2.357538348,-0.952868884,22.2409090909091,1044.62,1.89819349358215,1.55122506477209
"Fidelis",51,"trop.grass",-22.23527,-47.88583,28.8839186486486,738,2.995732274,2.780986309,2.357538348,-0.952868884,22.2409090909091,1044.62,1.89819349358215,1.55122506477209
"Foster",52,"temp.grass",39.05833,-95.19081,42.040311981982,331,4.094344562,3.310736386,2.783889279,-0.775886251,12.7963636363636,941.068181818182,0.499457016642463,1.19831558311876
"Foster",53,"temp.grass",39.05796,-95.19054,42.039941981982,331,3.526360525,3.024485172,2.442573951,-0.798830445,12.7963636363636,941.068181818182,0.499457016642463,1.19831558311876
"Foster",54,"temp.grass",39.05643,-95.19155,42.038411981982,331,3.988984047,3.299344547,3.023141725,-0.874060438,12.7963636363636,941.068181818182,0.499457016642463,1.19831558311876
"Foster",55,"temp.grass",39.0573,-95.19189,42.0573,333,3.401197382,3.316740491,2.998217787,-0.847345139,12.7963636363636,941.068181818182,0.499457016642463,1.19831558311876
"Jouri",56,"med.grass",37.176944,48.95083,55.3751421981982,2020,3.433987204,2.391974605,2.143691667,-0.302459208,10.7327272727273,461.665454545455,0.193832625204105,-0.435511528327551
"Jouri",57,"med.grass",37.174166,48.95472,54.6156074414414,1936,3.465735903,2.453408956,2.299793942,-0.331288162,10.7327272727273,461.665454545455,0.193832625204105,-0.435511528327551
"Jouri",58,"med.grass",37.169722,48.91472,57.2417940720721,2228,3.401197382,2.127430903,2.381737304,0.85965998,10.7327272727273,461.665454545455,0.193832625204105,-0.435511528327551
"Jouri",59,"med.grass",37.169722,48.91777,56.8634156936937,2186,3.044522438,2.05743535,2.714340482,0.782950005,10.7327272727273,461.665454545455,0.193832625204105,-0.435511528327551
"Jouri",60,"med.grass",36.839485,55.25569,55.1908363513514,2037,3.258096538,2.430259077,2.072321327,0.530102329,16.1327272727273,213.334545454545,0.993572222183771,-1.28183498207799
"Jouri",61,"med.grass",36.837781,55.25505,55.1891323513513,2037,3.526360525,2.430259077,2.072321327,0.530102329,16.1327272727273,213.334545454545,0.993572222183771,-1.28183498207799
"Jouri",62,"alpine.grass",36.85653,50.47021,53.7304038738739,1873,3.295836866,2.543240925,2.426549619,0.062368468,15.7536363636364,1106.46272727273,0.937428886840249,1.76198799688716
"Jouri",63,"alpine.grass",36.867213,50.45047,57.894240027027,2334,3.465735903,2.053974754,2.264978097,0.919045741,15.7536363636364,1106.46272727273,0.937428886840249,1.76198799688716
"Jouri",64,"alpine.grass",36.867554,50.45008,57.894581027027,2334,3.496507561,2.053974754,2.264978097,0.919045741,15.7536363636364,1106.46272727273,0.937428886840249,1.76198799688716
"Jouri",65,"alpine.grass",36.230377,51.41231,60.4916382612613,2693,3.36729583,2.58241427,2.5986155,1.184183763,7.23181818181818,557.066363636364,-0.324651749874799,-0.110380729393486
"Jouri",66,"alpine.grass",36.252022,51.4804,64.1168868648649,3093,3.583518938,2.269609596,2.534231718,1.025840981,10.8336363636364,884.98,0.208777254036554,1.00716441339639
"Henry",67,"temp.grass",43.193053,-81.316767,46.0398998468468,316,2.944438979,2.665991726,2.676546931,0.178473961,8.90727272727273,556.588181818182,-0.076517056737842,-0.112010395589151
"Henry",68,"temp.grass",43.192928,-81.318183,46.0397748468468,316,2.564949357,2.665991726,2.676546931,0.178473961,8.90727272727273,556.588181818182,-0.076517056737842,-0.112010395589151
"Hohn",69,"temp.grass",46.8925,16.2468,49.8204279279279,325,4.143134726,2.795461633,2.935747476,-0.840112305,10.7454545454545,710.475454545455,0.195717533345135,0.412444689843262
